用户编号,年龄,性别,状态,下单次数,视力,年收入,年消费,近期购买产品,已注册月,收入消费比,年龄层次,收入等级,消费等级,R_Stage,F_Stage,M_Stage,用户价值,综合分群
U045,28,男,有朋友,2,3,81290,56,贝尔防蓝光眼镜(高级黑),4,0.0006888916225773295,千禧一代(28-38),高收入,低消费,活跃,低频,低价值,潜力用户,中年视力关爱群体
U047,28,女,单身,3,3,42302,103,贝尔防蓝光眼镜(高级黑),4,0.002434873055589928,千禧一代(28-38),中收入,中消费,活跃,低频,中价值,价值用户,中年视力关爱群体
U048,28,男,有朋友,3,3,64576,94,贝尔防蓝光眼镜(高级黑),4,0.0014556491575592224,千禧一代(28-38),高收入,低消费,活跃,低频,低价值,潜力用户,中年视力关爱群体
U049,28,女,单身,4,3,44576,113,贝尔防蓝光眼镜(高级黑),4,0.002534996410567682,千禧一代(28-38),中收入,中消费,活跃,中频,中价值,价值用户,中年视力关爱群体
U052,29,男,有朋友,2,2,56617,38,贝尔防蓝光眼镜(高级黑),4,0.0006711765017455679,千禧一代(28-38),中收入,低消费,活跃,低频,低价值,其他,中年视力关爱群体
U054,30,女,有朋友,4,4,36617,141,贝尔防蓝光眼镜(高级黑),4,0.0038506704535092805,千禧一代(28-38),中收入,中消费,活跃,中频,中价值,价值用户,中年视力关爱群体
U055,30,女,单身,3,3,44576,85,贝尔防蓝光眼镜(高级黑),4,0.0019068557070641857,千禧一代(28-38),中收入,低消费,活跃,低频,低价值,其他,中年视力关爱群体
U056,31,女,有朋友,2,2,44576,47,贝尔防蓝光眼镜(高级黑),4,0.0010543790380237261,千禧一代(28-38),中收入,低消费,活跃,低频,低价值,其他,中年视力关爱群体
U057,31,男,单身,2,2,55480,47,贝尔防蓝光眼镜(高级黑),4,0.0008471521268773043,千禧一代(28-38),中收入,低消费,活跃,低频,低价值,其他,中年视力关爱群体
U058,32,男,单身,3,4,56617,113,贝尔防蓝光眼镜(高级黑),4,0.0019958669657170838,千禧一代(28-38),中收入,中消费,活跃,低频,中价值,价值用户,中年视力关爱群体
U059,32,女,有朋友,4,3,42302,85,贝尔防蓝光眼镜(高级黑),4,0.002009361259467416,千禧一代(28-38),中收入,低消费,活跃,中频,低价值,其他,中年视力关爱群体
U070,38,男,有朋友,2,3,64576,56,贝尔防蓝光眼镜(高级黑),4,0.0008671952428012389,千禧一代(28-38),高收入,低消费,活跃,低频,低价值,潜力用户,中年视力关爱群体
U071,38,女,单身,2,3,42302,56,贝尔防蓝光眼镜(高级黑),4,0.0013238144768255918,千禧一代(28-38),中收入,低消费,活跃,低频,低价值,其他,中年视力关爱群体
U081,19,女,单身,3,3,21836,64,敦乐视疲劳滴眼液(13ML),4,0.0029309397324175242,Z世代(18-27),低收入,低消费,活跃,低频,低价值,价格敏感,价格敏感学生党
U082,20,女,单身,2,3,22973,53,敦乐视疲劳滴眼液(13ML),4,0.002307056109245329,Z世代(18-27),低收入,低消费,活跃,低频,低价值,价格敏感,价格敏感学生党
U083,20,男,有朋友,3,3,74110,106,敦乐视疲劳滴眼液(13ML),4,0.0014303063014245,Z世代(18-27),高收入,中消费,活跃,低频,中价值,其他,其他用户群体
U084,20,女,单身,3,3,28658,95,敦乐视疲劳滴眼液(13ML),4,0.003314955684160969,Z世代(18-27),低收入,低消费,活跃,低频,低价值,价格敏感,价格敏感学生党
U085,21,男,有朋友,5,4,44110,212,敦乐视疲劳滴眼液(13ML),4,0.004806166402067418,Z世代(18-27),中收入,高消费,活跃,中频,高价值,其他,其他用户群体
U088,23,女,有朋友,3,3,26384,95,敦乐视疲劳滴眼液(13ML),4,0.0036006670708156204,Z世代(18-27),低收入,低消费,活跃,低频,低价值,价格敏感,价格敏感学生党
U089,23,女,有朋友,3,3,28658,85,敦乐视疲劳滴眼液(13ML),4,0.002966012980565077,Z世代(18-27),低收入,低消费,活跃,低频,低价值,价格敏感,价格敏感学生党
U093,23,男,单身,3,2,50932,53,敦乐视疲劳滴眼液(13ML),4,0.0010406031571302795,Z世代(18-27),中收入,低消费,活跃,低频,低价值,其他,其他用户群体
U095,24,男,单身,3,2,50932,85,敦乐视疲劳滴眼液(13ML),4,0.0016688918557749765,Z世代(18-27),中收入,低消费,活跃,低频,低价值,其他,其他用户群体
U096,24,女,单身,3,4,38891,106,敦乐视疲劳滴眼液(13ML),4,0.002725566326329342,Z世代(18-27),中收入,中消费,活跃,低频,中价值,价值用户,其他用户群体
U098,25,男,有朋友,2,3,55480,85,敦乐视疲劳滴眼液(13ML),4,0.0015320836337142738,Z世代(18-27),中收入,低消费,活跃,低频,低价值,其他,其他用户群体
U099,25,男,单身,3,4,53206,127,敦乐视疲劳滴眼液(13ML),4,0.002386948840311488,Z世代(18-27),中收入,中消费,活跃,低频,中价值,价值用户,其他用户群体
U101,25,男,有朋友,5,3,87754,106,敦乐视疲劳滴眼液(13ML),4,0.001207922145985278,Z世代(18-27),高收入,中消费,活跃,中频,中价值,其他,其他用户群体
U102,25,女,单身,3,3,35480,95,敦乐视疲劳滴眼液(13ML),4,0.002677564825178197,Z世代(18-27),中收入,低消费,活跃,低频,低价值,其他,其他用户群体
U103,25,男,单身,2,3,53206,64,敦乐视疲劳滴眼液(13ML),4,0.0012028718565349232,Z世代(18-27),中收入,低消费,活跃,低频,低价值,其他,其他用户群体
U104,25,女,有朋友,4,3,35480,170,敦乐视疲劳滴眼液(13ML),4,0.0047914317924241424,Z世代(18-27),中收入,中消费,活跃,中频,中价值,价值用户,其他用户群体
U105,25,女,有朋友,3,4,33206,106,敦乐视疲劳滴眼液(13ML),4,0.003192194181678245,Z世代(18-27),中收入,中消费,活跃,低频,中价值,价值用户,其他用户群体
U107,25,男,单身,2,2,55480,42,敦乐视疲劳滴眼液(13ML),4,0.0007570295601882295,Z世代(18-27),中收入,低消费,活跃,低频,低价值,其他,其他用户群体
U108,25,女,单身,4,3,38891,127,敦乐视疲劳滴眼液(13ML),4,0.003265537013621004,Z世代(18-27),中收入,中消费,活跃,中频,中价值,价值用户,其他用户群体
U112,27,女,单身,4,2,35480,53,敦乐视疲劳滴眼液(13ML),4,0.0014937993235204679,Z世代(18-27),中收入,低消费,活跃,中频,低价值,其他,其他用户群体
U113,29,男,有朋友,3,3,61165,95,敦乐视疲劳滴眼液(13ML),4,0.0015531758358284448,千禧一代(28-38),高收入,低消费,活跃,低频,低价值,潜力用户,中年视力关爱群体
U114,30,男,单身,3,3,67987,74,敦乐视疲劳滴眼液(13ML),4,0.0010884433788652473,千禧一代(28-38),高收入,低消费,活跃,低频,低价值,潜力用户,中年视力关爱群体
U129,35,男,有朋友,3,2,62302,53,敦乐视疲劳滴眼液(13ML),4,0.000850695001751939,千禧一代(28-38),高收入,低消费,活跃,低频,低价值,潜力用户,中年视力关爱群体
U141,22,女,单身,4,3,38658,106,9色钻石珠光眼影盘,4,0.0027419938951124736,Z世代(18-27),中收入,中消费,活跃,中频,中价值,价值用户,其他用户群体
U167,29,女,有朋友,7,5,75906,300,9色钻石珠光眼影盘,4,0.003952256738545672,千禧一代(28-38),高收入,高消费,活跃,高频,高价值,高价值用户,高收入美妆爱好者
U002,19,女,单身,2,3,21836,75,贝尔防蓝光眼镜(高级黑),5,0.003434694998926786,Z世代(18-27),低收入,低消费,活跃,低频,低价值,价格敏感,年轻护眼刚需族
U009,21,女,单身,5,4,25247,141,贝尔防蓝光眼镜(高级黑),5,0.0055848219588234315,Z世代(18-27),低收入,中消费,活跃,中频,中价值,价格敏感,年轻护眼刚需族
U010,21,男,有朋友,2,3,47521,85,贝尔防蓝光眼镜(高级黑),5,0.0017886828980495217,Z世代(18-27),中收入,低消费,活跃,低频,低价值,其他,年轻护眼刚需族
U020,23,男,有朋友,2,2,44110,38,贝尔防蓝光眼镜(高级黑),5,0.0008614826569743486,Z世代(18-27),中收入,低消费,活跃,低频,低价值,其他,年轻护眼刚需族
U128,34,女,单身,3,3,57083,85,敦乐视疲劳滴眼液(13ML),5,0.0014890597901040755,千禧一代(28-38),中收入,低消费,活跃,低频,低价值,其他,中年视力关爱群体
U013,22,男,单身,4,3,106384,75,贝尔防蓝光眼镜(高级黑),6,0.0007049932320583453,Z世代(18-27),高收入,低消费,活跃,中频,低价值,潜力用户,年轻护眼刚需族
U015,23,女,有朋友,3,1,28658,47,贝尔防蓝光眼镜(高级黑),6,0.00164003070690069,Z世代(18-27),低收入,低消费,活跃,低频,低价值,其他,年轻护眼刚需族
U016,23,女,有朋友,3,3,30932,75,贝尔防蓝光眼镜(高级黑),6,0.002424673477226669,Z世代(18-27),中收入,低消费,活跃,低频,低价值,其他,年轻护眼刚需族
U018,23,女,有朋友,4,3,29795,94,贝尔防蓝光眼镜(高级黑),6,0.0031548917602565903,Z世代(18-27),低收入,低消费,活跃,中频,低价值,价格敏感,年轻护眼刚需族
U019,23,男,单身,4,3,48658,113,贝尔防蓝光眼镜(高级黑),6,0.002322331374032588,Z世代(18-27),中收入,中消费,活跃,中频,中价值,价值用户,年轻护眼刚需族
U022,23,女,单身,4,3,30932,94,贝尔防蓝光眼镜(高级黑),6,0.003038924091457425,Z世代(18-27),中收入,低消费,活跃,中频,低价值,其他,年轻护眼刚需族
U023,24,男,单身,4,3,52069,94,贝尔防蓝光眼镜(高级黑),6,0.0018052968176495556,Z世代(18-27),中收入,低消费,活跃,中频,低价值,其他,年轻护眼刚需族
U024,24,男,有朋友,5,5,54343,188,贝尔防蓝光眼镜(高级黑),6,0.003459507204176076,Z世代(18-27),中收入,中消费,活跃,中频,中价值,价值用户,年轻护眼刚需族
U027,24,男,单身,4,3,56617,75,贝尔防蓝光眼镜(高级黑),6,0.0013246904639715158,Z世代(18-27),中收入,低消费,活跃,中频,低价值,其他,年轻护眼刚需族
U032,25,女,单身,3,4,30932,113,贝尔防蓝光眼镜(高级黑),6,0.0036531747056881814,Z世代(18-27),中收入,中消费,活跃,低频,中价值,价值用户,年轻护眼刚需族
U033,25,男,有朋友,2,2,50932,47,贝尔防蓝光眼镜(高级黑),6,0.0009227990261343989,Z世代(18-27),中收入,低消费,活跃,低频,低价值,其他,年轻护眼刚需族
U034,25,女,单身,3,3,33206,85,贝尔防蓝光眼镜(高级黑),6,0.002559778353232555,Z世代(18-27),中收入,低消费,活跃,低频,低价值,其他,年轻护眼刚需族
U036,26,男,有朋友,4,3,62302,113,贝尔防蓝光眼镜(高级黑),6,0.0018137459471314927,Z世代(18-27),高收入,中消费,活跃,中频,中价值,其他,年轻护眼刚需族
U037,26,女,有朋友,2,2,43439,47,贝尔防蓝光眼镜(高级黑),6,0.0010819770252288963,Z世代(18-27),中收入,低消费,活跃,低频,低价值,其他,年轻护眼刚需族
U038,26,女,有朋友,3,3,41165,85,贝尔防蓝光眼镜(高级黑),6,0.0020648609254933837,Z世代(18-27),中收入,低消费,活跃,低频,低价值,其他,年轻护眼刚需族
U039,26,男,单身,3,3,96384,66,贝尔防蓝光眼镜(高级黑),6,0.0006847609561681944,Z世代(18-27),高收入,低消费,活跃,低频,低价值,潜力用户,年轻护眼刚需族
U040,26,女,有朋友,4,4,34343,132,贝尔防蓝光眼镜(高级黑),6,0.003843578021610122,Z世代(18-27),中收入,中消费,活跃,中频,中价值,价值用户,年轻护眼刚需族
U041,26,女,单身,3,3,40028,85,贝尔防蓝光眼镜(高级黑),6,0.002123513540468584,Z世代(18-27),中收入,低消费,活跃,低频,低价值,其他,年轻护眼刚需族
U043,27,女,单身,4,3,44576,85,贝尔防蓝光眼镜(高级黑),6,0.0019068557070641857,Z世代(18-27),中收入,低消费,活跃,中频,低价值,其他,年轻护眼刚需族
U046,28,男,有朋友,2,3,62302,66,贝尔防蓝光眼镜(高级黑),6,0.001059356039917509,千禧一代(28-38),高收入,低消费,活跃,低频,低价值,潜力用户,中年视力关爱群体
U050,28,男,有朋友,3,3,91165,56,贝尔防蓝光眼镜(高级黑),6,0.000614270827613511,千禧一代(28-38),高收入,低消费,活跃,低频,低价值,潜力用户,中年视力关爱群体
U053,29,男,有朋友,4,3,60028,94,贝尔防蓝光眼镜(高级黑),6,0.0015659358965555085,千禧一代(28-38),高收入,低消费,活跃,中频,低价值,潜力用户,中年视力关爱群体
U060,33,男,单身,2,2,65713,38,贝尔防蓝光眼镜(高级黑),6,0.0005782721835774007,千禧一代(28-38),高收入,低消费,活跃,低频,低价值,潜力用户,中年视力关爱群体
U061,33,男,有朋友,3,3,56617,85,贝尔防蓝光眼镜(高级黑),6,0.001501315859167718,千禧一代(28-38),中收入,低消费,活跃,低频,低价值,其他,中年视力关爱群体
U062,34,女,单身,4,5,41165,169,贝尔防蓝光眼镜(高级黑),6,0.004105429369510374,千禧一代(28-38),中收入,中消费,活跃,中频,中价值,价值用户,中年视力关爱群体
U063,34,男,单身,2,2,62302,66,贝尔防蓝光眼镜(高级黑),6,0.001059356039917509,千禧一代(28-38),高收入,低消费,活跃,低频,低价值,潜力用户,中年视力关爱群体
U064,35,女,有朋友,4,3,38891,85,贝尔防蓝光眼镜(高级黑),6,0.00218559563903768,千禧一代(28-38),中收入,低消费,活跃,中频,低价值,其他,中年视力关爱群体
U065,35,男,有朋友,3,3,70261,94,贝尔防蓝光眼镜(高级黑),6,0.0013378688034423384,千禧一代(28-38),高收入,低消费,活跃,低频,低价值,潜力用户,中年视力关爱群体
U068,37,男,有朋友,3,3,47521,85,贝尔防蓝光眼镜(高级黑),6,0.0017886828980495217,千禧一代(28-38),中收入,低消费,活跃,低频,低价值,其他,中年视力关爱群体
U069,38,女,有朋友,3,3,36617,75,贝尔防蓝光眼镜(高级黑),6,0.002048228964632596,千禧一代(28-38),中收入,低消费,活跃,低频,低价值,其他,中年视力关爱群体
U072,38,女,有朋友,3,3,46850,75,贝尔防蓝光眼镜(高级黑),6,0.0016008537886531302,千禧一代(28-38),中收入,低消费,活跃,低频,低价值,其他,中年视力关爱群体
U073,39,女,有朋友,4,4,49124,132,贝尔防蓝光眼镜(高级黑),6,0.002687077599489311,成熟用户(39+),中收入,中消费,活跃,中频,中价值,价值用户,中年视力关爱群体
U074,40,女,有朋友,3,3,51398,66,贝尔防蓝光眼镜(高级黑),6,0.0012840966574325051,成熟用户(39+),中收入,低消费,活跃,低频,低价值,其他,中年视力关爱群体
U075,41,女,有朋友,4,3,44576,103,贝尔防蓝光眼镜(高级黑),6,0.0023106604450307193,成熟用户(39+),中收入,中消费,活跃,中频,中价值,价值用户,中年视力关爱群体
U076,43,女,有朋友,3,3,43439,66,贝尔防蓝光眼镜(高级黑),6,0.0015193719928746202,成熟用户(39+),中收入,低消费,活跃,低频,低价值,其他,中年视力关爱群体
U077,44,男,单身,3,4,67987,75,贝尔防蓝光眼镜(高级黑),6,0.001103152073174237,成熟用户(39+),高收入,低消费,活跃,低频,低价值,潜力用户,中年视力关爱群体
U078,46,男,有朋友,3,2,70261,47,贝尔防蓝光眼镜(高级黑),6,0.0006689344017211692,成熟用户(39+),高收入,低消费,活跃,低频,低价值,潜力用户,中年视力关爱群体
U079,47,女,有朋友,4,3,46850,94,贝尔防蓝光眼镜(高级黑),6,0.002006403415111923,成熟用户(39+),中收入,低消费,活跃,中频,低价值,其他,中年视力关爱群体
U080,50,男,有朋友,3,3,74809,66,贝尔防蓝光眼镜(高级黑),6,0.000882246788476223,成熟用户(39+),高收入,低消费,活跃,低频,低价值,潜力用户,中年视力关爱群体
U086,21,女,有朋友,2,2,24110,42,敦乐视疲劳滴眼液(13ML),6,0.0017420157610227285,Z世代(18-27),低收入,低消费,活跃,低频,低价值,其他,价格敏感学生党
U090,23,男,单身,3,3,55480,95,敦乐视疲劳滴眼液(13ML),6,0.0017123287670924238,Z世代(18-27),中收入,低消费,活跃,低频,低价值,其他,其他用户群体
U091,23,女,有朋友,4,3,35480,127,敦乐视疲劳滴眼液(13ML),6,0.0035794813978698003,Z世代(18-27),中收入,中消费,活跃,中频,中价值,价值用户,其他用户群体
U092,23,男,有朋友,3,2,53206,74,敦乐视疲劳滴眼液(13ML),6,0.001390820584118505,Z世代(18-27),中收入,低消费,活跃,低频,低价值,其他,其他用户群体
U094,23,女,有朋友,3,3,35480,64,敦乐视疲劳滴眼液(13ML),6,0.0018038331453832065,Z世代(18-27),中收入,低消费,活跃,低频,低价值,其他,其他用户群体
U097,24,男,单身,3,3,60028,106,敦乐视疲劳滴眼液(13ML),6,0.0017658426067540841,Z世代(18-27),高收入,中消费,活跃,低频,中价值,其他,其他用户群体
U100,25,女,有朋友,2,2,42302,42,敦乐视疲劳滴眼液(13ML),6,0.000992860857619194,Z世代(18-27),中收入,低消费,活跃,低频,低价值,其他,其他用户群体
U106,25,女,有朋友,2,3,40028,53,敦乐视疲劳滴眼液(13ML),6,0.0013240731487627643,Z世代(18-27),中收入,低消费,活跃,低频,低价值,其他,其他用户群体
U109,26,男,有朋友,4,3,55480,85,敦乐视疲劳滴眼液(13ML),6,0.0015320836337142738,Z世代(18-27),中收入,低消费,活跃,中频,低价值,其他,其他用户群体
U110,26,男,单身,4,4,60028,127,敦乐视疲劳滴眼液(13ML),6,0.0021156793496015912,Z世代(18-27),高收入,中消费,活跃,中频,中价值,其他,其他用户群体
U111,26,女,单身,4,3,41165,106,敦乐视疲劳滴眼液(13ML),6,0.0025750030364976315,Z世代(18-27),中收入,中消费,活跃,中频,中价值,价值用户,其他用户群体
U116,31,女,有朋友,3,3,42302,95,敦乐视疲劳滴眼液(13ML),6,0.0022457567017577004,千禧一代(28-38),中收入,低消费,活跃,低频,低价值,其他,中年视力关爱群体
U117,31,男,有朋友,2,3,61165,64,敦乐视疲劳滴眼液(13ML),6,0.0010463500367686365,千禧一代(28-38),高收入,低消费,活跃,低频,低价值,潜力用户,中年视力关爱群体
U119,32,女,单身,4,3,50261,127,敦乐视疲劳滴眼液(13ML),6,0.002526810051480734,千禧一代(28-38),中收入,中消费,活跃,中频,中价值,价值用户,中年视力关爱群体
U120,32,女,有朋友,3,3,43439,95,敦乐视疲劳滴眼液(13ML),6,0.00218697483822862,千禧一代(28-38),中收入,低消费,活跃,低频,低价值,其他,中年视力关爱群体
U122,33,男,有朋友,2,3,60028,85,敦乐视疲劳滴眼液(13ML),6,0.0014160058639065768,千禧一代(28-38),高收入,低消费,活跃,低频,低价值,潜力用户,中年视力关爱群体
U123,33,女,有朋友,3,3,41165,95,敦乐视疲劳滴眼液(13ML),6,0.0023077857402573113,千禧一代(28-38),中收入,低消费,活跃,低频,低价值,其他,中年视力关爱群体
U124,33,男,有朋友,5,3,63439,95,敦乐视疲劳滴眼液(13ML),6,0.0014975015368858668,千禧一代(28-38),高收入,低消费,活跃,中频,低价值,潜力用户,中年视力关爱群体
U126,34,男,有朋友,4,3,74809,95,敦乐视疲劳滴眼液(13ML),6,0.001269900680382442,千禧一代(28-38),高收入,低消费,活跃,中频,低价值,潜力用户,中年视力关爱群体
U127,34,女,有朋友,3,4,49124,85,敦乐视疲劳滴眼液(13ML),6,0.0017303151208832685,千禧一代(28-38),中收入,低消费,活跃,低频,低价值,其他,中年视力关爱群体
U130,35,女,有朋友,3,2,43439,53,敦乐视疲劳滴眼液(13ML),6,0.0012201017518538616,千禧一代(28-38),中收入,低消费,活跃,低频,低价值,其他,中年视力关爱群体
U131,35,男,单身,3,2,60028,64,敦乐视疲劳滴眼液(13ML),6,0.0010661691210590695,千禧一代(28-38),高收入,低消费,活跃,低频,低价值,潜力用户,中年视力关爱群体
U132,35,女,有朋友,3,3,43439,95,敦乐视疲劳滴眼液(13ML),6,0.00218697483822862,千禧一代(28-38),中收入,低消费,活跃,低频,低价值,其他,中年视力关爱群体
U133,37,男,有朋友,2,3,58891,85,敦乐视疲劳滴眼液(13ML),6,0.0014433444838524844,千禧一代(28-38),中收入,低消费,活跃,低频,低价值,其他,中年视力关爱群体
U134,38,男,有朋友,4,3,72535,85,敦乐视疲劳滴眼液(13ML),6,0.0011718480733277474,千禧一代(28-38),高收入,低消费,活跃,中频,低价值,潜力用户,中年视力关爱群体
U135,38,女,有朋友,3,3,49124,106,敦乐视疲劳滴眼液(13ML),6,0.002157804738983841,千禧一代(28-38),中收入,中消费,活跃,低频,中价值,价值用户,中年视力关爱群体
U136,40,男,有朋友,3,3,71398,85,敦乐视疲劳滴眼液(13ML),6,0.001190509538065625,成熟用户(39+),高收入,低消费,活跃,低频,低价值,潜力用户,中年视力关爱群体
U137,40,男,单身,3,3,67987,85,敦乐视疲劳滴眼液(13ML),6,0.0012502390162641354,成熟用户(39+),高收入,低消费,活跃,低频,低价值,潜力用户,中年视力关爱群体
U138,40,女,有朋友,3,3,54809,95,敦乐视疲劳滴眼液(13ML),6,0.0017332919775632962,成熟用户(39+),中收入,低消费,活跃,低频,低价值,其他,中年视力关爱群体
U139,45,女,有朋友,2,2,44576,42,敦乐视疲劳滴眼液(13ML),6,0.0009422110552552447,成熟用户(39+),中收入,低消费,活跃,低频,低价值,其他,中年视力关爱群体
U140,48,女,有朋友,2,3,47987,64,敦乐视疲劳滴眼液(13ML),6,0.0013336945422440724,成熟用户(39+),中收入,低消费,活跃,低频,低价值,其他,中年视力关爱群体
U142,22,女,单身,3,5,44781,120,9色钻石珠光眼影盘,6,0.0026797079117777695,Z世代(18-27),中收入,中消费,活跃,低频,中价值,价值用户,其他用户群体
U144,23,女,单身,4,5,48516,140,9色钻石珠光眼影盘,6,0.0028856459724032144,Z世代(18-27),中收入,中消费,活跃,中频,中价值,价值用户,其他用户群体
U146,23,女,单身,4,5,38556,100,9色钻石珠光眼影盘,6,0.0025936300445431677,Z世代(18-27),中收入,低消费,活跃,中频,低价值,其他,其他用户群体
U150,24,女,单身,5,5,39801,160,9色钻石珠光眼影盘,6,0.00401999949739906,Z世代(18-27),中收入,中消费,活跃,中频,中价值,价值用户,其他用户群体
U151,25,女,有朋友,4,5,39801,120,9色钻石珠光眼影盘,6,0.0030149996230492953,Z世代(18-27),中收入,中消费,活跃,中频,中价值,价值用户,其他用户群体
U152,25,女,单身,4,4,52251,160,9色钻石珠光眼影盘,6,0.0030621423512839537,Z世代(18-27),中收入,中消费,活跃,中频,中价值,价值用户,其他用户群体
U159,26,女,单身,5,4,54741,180,9色钻石珠光眼影盘,6,0.0032882117607773292,Z世代(18-27),中收入,中消费,活跃,中频,中价值,价值用户,其他用户群体
U160,27,女,有朋友,4,5,73416,160,9色钻石珠光眼影盘,6,0.002179361447066316,Z世代(18-27),高收入,中消费,活跃,中频,中价值,其他,高收入美妆爱好者
U168,30,男,有朋友,6,5,80560,280,9色钻石珠光眼影盘,6,0.0034756703078019408,千禧一代(28-38),高收入,高消费,活跃,高频,高价值,高价值用户,高收入美妆爱好者
U171,31,女,有朋友,6,5,79641,260,9色钻石珠光眼影盘,6,0.003264650117360849,千禧一代(28-38),高收入,高消费,活跃,高频,高价值,高价值用户,高收入美妆爱好者
