用户码,R值,F值,M值,总分,customer_value
14817,199,63,1110.34,6,High
14818,73,48,657.8,5,High
14819,63,13,272.07,1,Low
14820,20,29,507.29,2,Low
14821,366,2,48.800000000000004,2,Low
14823,179,70,321.43,5,High
14824,9,29,1127.71,3,Medium
14825,3,121,2226.91,6,High
14828,196,17,2139.76,5,High
14829,28,42,697.55,4,Medium
14830,52,40,197.13,2,Low
14834,17,67,1720.3,5,High
14836,9,6,102.44999999999999,0,Low
14837,89,108,1649.5,7,High
14840,267,4,62.85,2,Low
14841,52,138,3295.76,7,High
14842,42,145,2824.69,7,High
14844,63,130,3189.81,7,High
14847,148,13,309.4,3,Medium
14849,21,388,7930.54,6,High
14850,311,21,325.75,4,Medium
14851,22,28,511.35,2,Low
14852,57,143,2836.69,7,High
14853,23,9,475.8,1,Low
14854,77,127,2759.83,7,High
14855,118,20,645.65,5,High
14856,35,66,1311.3799999999999,5,High
14857,59,60,1173.12,5,High
14859,12,58,1353.74,4,Medium
14860,18,11,170.32,0,Low
14861,51,6,125.79,1,Low
14862,25,48,841.1999999999999,4,Medium
14863,28,11,266.76,1,Low
14865,6,4,52.2,0,Low
14866,10,99,14389.9,6,High
14867,185,36,710.28,5,High
14868,2,144,2953.59,6,High
14869,7,71,725.7,4,Medium
14870,261,13,327.25,3,Medium
14871,2,98,522.38,3,Medium
14873,209,28,519.68,4,Medium
14875,107,47,1465.3200000000002,6,High
14878,12,124,1485.54,5,High
14880,76,47,706.19,5,High
14881,19,17,255.4,0,Low
14882,25,11,589.7,1,Low
14883,18,53,761.59,4,Medium
14885,131,15,765.3199999999999,4,Medium
14886,252,18,364.8,4,Medium
14887,78,6,1862.0,4,Medium
14888,206,20,369.2,4,Medium
14889,335,10,135.9,2,Low
14890,253,7,125.65,2,Low
14891,147,33,554.38,4,Medium
14893,9,73,1237.8500000000001,4,Medium
14894,84,23,655.75,4,Medium
14895,7,498,11138.710000000001,6,High
14896,204,43,468.77000000000004,5,High
14897,7,55,1366.38,4,Medium
14898,22,116,1303.52,5,High
14901,10,96,1421.29,4,Medium
14902,25,20,332.66,2,Low
14903,20,355,2810.63,6,High
14904,1,69,1025.44,4,Medium
14905,156,17,616.15,3,Medium
14907,2,165,3501.1,6,High
14908,73,9,277.8,1,Low
14910,2,30,434.35,2,Low
14912,16,27,867.85,3,Medium
14913,35,87,1227.43,5,High
14915,90,12,307.48,3,Medium
14916,70,77,1268.98,5,High
14918,115,45,1610.15,7,High
14920,212,57,977.77,6,High
14921,29,78,1316.07,5,High
14923,50,44,749.1,5,High
14924,245,10,310.05,3,Medium
14929,31,11,223.88,1,Low
14930,108,128,2372.86,8,High
14931,4,41,1257.68,3,Medium
14932,365,17,363.53,3,Medium
14934,81,87,1890.94,6,High
14935,296,10,1784.71,5,High
14936,33,364,8137.02,7,High
14937,56,34,1621.88,5,High
14944,29,170,5900.25,7,High
14946,13,3,100.9,0,Low
14947,71,14,290.82,1,Low
14948,22,63,1101.97,4,Medium
14950,18,19,371.2,2,Low
14951,78,20,311.69,3,Medium
14952,59,138,8099.49,7,High
14953,24,55,289.82,2,Low
14954,11,85,336.17,3,Medium
14957,252,12,58.49,2,Low
14958,146,42,499.68,4,Medium
14959,63,59,695.42,5,High
14960,7,27,221.27,1,Low
14961,10,312,7044.68,6,High
14962,270,5,126.7,2,Low
14963,9,198,1487.8,5,High
14964,246,13,206.21,2,Low
14965,95,83,599.0,5,High
14966,14,38,191.32,1,Low
14967,49,6,463.8,2,Low
14968,29,37,147.59,2,Low
14970,67,34,1592.06,5,High
14971,34,160,1116.57,6,High
14972,127,18,114.77,3,Medium
14973,106,32,1314.45,5,High
14974,36,21,114.39,2,Low
14975,56,11,279.94,1,Low
14976,56,72,790.86,5,High
14978,71,216,1931.42,7,High
14981,245,8,102.12,2,Low
14984,18,41,213.27,1,Low
14985,197,87,296.75,4,Medium
14987,15,4,326.4,1,Low
14988,211,40,334.54,4,Medium
14995,38,61,233.23000000000002,3,Medium
14997,45,26,546.1999999999999,3,Medium
14998,169,75,429.87,5,High
15000,47,77,490.52,4,Medium
15002,115,115,1641.76,8,High
15004,146,158,1246.32,7,High
15005,15,1119,6316.57,6,High
15006,50,144,502.09,5,High
15007,158,12,156.91,2,Low
15009,11,182,1261.78,5,High
15010,34,20,308.94,3,Medium
15012,53,128,423.04,5,High
15014,42,35,260.17,2,Low
15016,172,20,170.04,3,Medium
15017,33,20,125.58,2,Low
15018,37,31,496.21000000000004,3,Medium
15019,265,70,266.0,4,Medium
15021,8,472,1914.82,6,High
15022,10,135,905.04,5,High
15023,2,562,6802.76,6,High
15024,9,155,1661.33,6,High
15025,32,72,377.01,4,Medium
15026,79,61,469.0,4,Medium
15027,30,35,1066.1499999999999,4,Medium
15028,7,48,627.13,3,Medium
15030,71,7,518.28,2,Low
15031,3,111,668.14,5,High
15032,255,52,4959.1,7,High
15033,3,510,2586.67,6,High
15034,15,394,4308.61,6,High
15035,89,27,252.73000000000002,2,Low
15036,71,127,465.55,5,High
15038,58,130,705.49,6,High
15039,9,1502,19914.44,6,High
15041,169,67,180.35,4,Medium
15042,198,5,135.93,2,Low
15043,30,3,537.0,2,Low
15044,18,453,7700.2300000000005,6,High
15045,151,12,735.66,4,Medium
15046,8,206,5213.7699999999995,6,High
15047,269,22,343.62,4,Medium
15048,64,97,384.05,4,Medium
15049,273,3,121.17000000000002,2,Low
15050,24,78,1782.09,5,High
15051,22,143,1391.61,5,High
15052,318,30,215.78,3,Medium
15053,4,71,697.79,4,Medium
15054,11,114,302.1,3,Medium
15057,274,25,1489.5,5,High
15058,24,276,2124.9900000000002,6,High
15059,40,237,1337.72,6,High
15060,7,121,303.09,3,Medium
15061,3,403,54534.14,6,High
15062,70,57,987.86,5,High
15063,212,5,370.79999999999995,3,Medium
15065,37,155,3158.13,7,High
15066,52,42,893.59,4,Medium
15067,77,82,1744.76,6,High
15068,45,104,553.36,5,High
15069,178,70,1109.53,6,High
15070,372,1,106.2,2,Low
15071,93,26,982.07,5,High
15073,9,54,1043.41,4,Medium
15074,104,42,748.87,5,High
15075,77,27,773.03,4,Medium
15076,172,49,880.85,6,High
15078,6,440,9743.11,6,High
15079,211,47,895.61,6,High
15081,21,33,504.8,2,Low
15083,256,5,88.2,2,Low
15087,281,15,306.94,3,Medium
15088,20,57,1160.07,4,Medium
15089,9,145,2420.84,6,High
15090,307,23,381.32,4,Medium
15091,66,30,480.71,3,Medium
15092,214,26,457.81,4,Medium
15093,17,108,4597.02,6,High
15095,103,47,1370.6,6,High
15096,42,11,219.39000000000001,1,Low
15097,3,25,248.08,1,Low
15098,181,3,39916.5,5,High
15099,83,23,410.48,3,Medium
15100,333,4,1226.3999999999999,4,Medium
15101,8,8,317.53,1,Low
15103,30,35,703.36,4,Medium
15104,196,69,1027.44,6,High
15105,17,101,2298.93,6,High
15106,17,100,1422.52,5,High
15107,310,17,319.5,3,Medium
15108,141,60,1300.25,6,High
15109,245,28,484.95,4,Medium
15110,23,35,996.1,3,Medium
15111,28,84,1567.48,6,High
15113,9,100,3609.33,6,High
15114,29,197,2760.56,7,High
15115,17,21,340.11,2,Low
15116,17,45,1352.75,4,Medium
15117,14,79,1551.78,5,High
15118,133,1,244.8,2,Low
15119,245,14,266.4,2,Low
15120,133,21,358.82,4,Medium
15121,49,28,457.72,3,Medium
15122,113,82,1633.78,7,High
15123,6,106,2199.31,6,High
15124,22,15,184.19,0,Low
15125,24,127,11528.48,6,High
15127,65,16,406.53,2,Low
15128,59,102,1471.0,6,High
15129,49,84,3447.4,6,High
15130,169,22,330.11,4,Medium
15132,17,52,977.9300000000001,4,Medium
15133,127,29,982.42,5,High
15134,14,73,1387.99,4,Medium
15135,238,9,139.05,2,Low
15136,2,68,1286.7,4,Medium
15139,239,13,178.96,2,Low
15140,51,80,2354.25,6,High
15142,45,26,498.74,3,Medium
15143,225,14,259.45,2,Low
15144,7,217,6580.44,6,High
15145,3,67,1194.73,4,Medium
15146,164,91,1327.16,6,High
15147,239,28,623.5,4,Medium
15148,10,20,301.29,1,Low
15149,133,23,520.8000000000001,4,Medium
15150,16,343,5314.47,6,High
15152,8,271,4745.69,6,High
15153,30,22,329.25,3,Medium
15154,74,85,296.42,3,Medium
15156,0,55,961.49,4,Medium
15157,3,125,1936.07,6,High
15158,44,7,401.40000000000003,2,Low
15159,1,710,18641.010000000002,6,High
15160,356,4,158.16,2,Low
15163,17,29,304.47,1,Low
15164,68,103,843.05,6,High
15165,372,27,487.75,4,Medium
15167,319,41,163.0,3,Medium
15168,25,5,106.56,0,Low
15171,330,5,1289.5,4,Medium
15172,8,110,1624.05,6,High
15174,322,11,135.75,2,Low
15175,71,23,224.14,2,Low
15178,259,3,40.5,2,Low
15179,17,93,2206.95,5,High
15180,366,6,87.5,2,Low
15181,65,16,689.4799999999999,3,Medium
15182,153,29,622.85,4,Medium
15184,28,63,406.76,4,Medium
15185,69,21,310.62,3,Medium
15186,13,19,411.41,2,Low
15187,1,91,4777.18,5,High
15189,0,212,16225.39,6,High
15192,119,51,1044.32,6,High
15193,60,19,499.32,3,Medium
15194,2,310,7616.53,6,High
15195,2,1,3861.0,3,Medium
15197,10,32,1079.6100000000001,3,Medium
15198,91,10,193.64,2,Low
15199,58,13,1268.7,3,Medium
15201,86,69,1236.54,5,High
15203,25,142,1827.8,6,High
15204,356,9,316.58,3,Medium
15205,84,37,653.24,4,Medium
15206,9,9,420.29999999999995,1,Low
15208,0,42,870.12,3,Medium
15210,224,20,331.18,4,Medium
15211,59,52,894.4100000000001,5,High
15212,240,5,101.8,2,Low
15213,318,24,328.35,4,Medium
15214,1,110,1661.44,6,High
15215,46,35,734.94,4,Medium
15216,87,2,96.6,1,Low
15218,10,166,5756.89,6,High
15219,175,9,305.75,2,Low
15220,50,117,1778.96,7,High
15221,365,5,403.25,3,Medium
15222,318,5,585.0,3,Medium
15223,225,20,755.75,5,High
15224,357,14,322.08,3,Medium
15225,233,23,409.40000000000003,4,Medium
15226,310,8,154.41,2,Low
15227,36,58,1219.4,5,High
15228,65,125,3386.71,7,High
15230,238,23,429.6,4,Medium
15232,112,31,612.06,4,Medium
15234,276,14,197.0,2,Low
15235,217,143,2247.51,8,High
15236,298,15,321.05,3,Medium
15237,1,99,1412.32,5,High
15238,28,50,1071.99,5,High
15239,9,49,780.59,4,Medium
15240,44,78,1706.57,6,High
15241,66,110,1756.44,7,High
15243,73,22,316.68,3,Medium
15244,64,34,631.57,3,Medium
15245,133,89,2515.84,7,High
15246,237,33,514.15,4,Medium
15247,121,6,356.0,3,Medium
15249,31,350,6688.46,7,High
15251,8,111,10484.99,6,High
15252,35,44,740.78,5,High
15253,15,53,918.1999999999999,4,Medium
15254,126,18,300.36,3,Medium
15255,65,47,890.85,5,High
15256,148,6,98.45,2,Low
15257,282,7,317.15,3,Medium
15258,168,34,623.16,4,Medium
15260,99,77,1810.77,7,High
15261,134,19,254.82,3,Medium
15262,323,10,178.95000000000002,2,Low
15263,106,12,156.51,2,Low
15264,63,23,393.74,3,Medium
15265,150,82,1506.1200000000001,7,High
15266,337,6,119.3,2,Low
15267,21,11,1717.36,3,Medium
15269,23,2,408.8,1,Low
15270,15,41,2379.49,4,Medium
15271,6,274,2507.07,6,High
15272,56,63,721.94,5,High
15274,3,47,716.57,4,Medium
15275,37,41,615.14,3,Medium
15276,65,52,135.31,3,Medium
15277,46,12,255.89999999999998,1,Low
15279,354,19,290.51,3,Medium
15280,171,16,113.12,2,Low
15281,58,139,2332.15,7,High
15286,49,3,240.55,1,Low
15287,21,20,486.69,2,Low
15288,42,88,2306.52,6,High
15289,28,58,939.78,5,High
15290,4,204,7943.22,6,High
15291,25,105,20261.100000000002,6,High
15292,200,25,180.94,3,Medium
15296,50,194,3672.86,7,High
15297,9,39,641.94,2,Low
15298,1,192,4799.9,6,High
15299,66,7,4507.01,4,Medium
15300,63,28,496.44,3,Medium
15301,50,243,5070.35,7,High
15303,289,31,574.02,4,Medium
15304,60,23,694.4000000000001,4,Medium
15306,63,58,1174.35,5,High
15307,95,12,205.3,2,Low
15308,273,19,310.47,4,Medium
15311,0,2379,60767.9,6,High
15312,74,47,924.85,5,High
15313,109,1,52.0,2,Low
15314,198,24,327.97,4,Medium
15315,63,37,570.5,3,Medium
15316,326,1,165.0,2,Low
15318,3,33,312.62,2,Low
15319,282,16,204.5,2,Low
15320,43,36,267.13,2,Low
15321,70,95,2748.31,6,High
15322,85,42,679.68,4,Medium
15325,103,49,162.29,4,Medium
15326,333,29,311.71,4,Medium
15327,52,10,208.75,1,Low
15329,38,57,1049.7,5,High
15330,31,13,714.96,3,Medium
15332,365,35,1661.06,6,High
15333,207,16,1028.56,4,Medium
15334,156,99,351.67,6,High
15335,52,36,173.97,2,Low
15339,65,86,574.07,4,Medium
15341,80,17,2020.52,4,Medium
15342,129,24,406.09,4,Medium
15343,86,21,364.5,3,Medium
15344,0,26,563.94,2,Low
15345,45,20,393.54,3,Medium
15346,332,17,252.42000000000002,2,Low
15347,365,5,201.60000000000002,2,Low
15348,71,9,158.04,1,Low
15349,157,72,473.81,5,High
15350,372,5,115.65,2,Low
15351,11,225,1960.1100000000001,6,High
15353,254,63,777.02,6,High
15355,28,14,277.05,1,Low
15356,30,519,2766.5,7,High
15358,4,551,8347.2,6,High
15360,39,13,427.93,2,Low
15361,361,7,418.92,3,Medium
15363,372,16,326.0,3,Medium
15364,95,29,913.19,5,High
15365,25,114,2314.32,6,High
15366,74,44,602.51,4,Medium
15367,56,95,1877.59,6,High
15368,20,4,446.94000000000005,1,Low
15370,40,94,2386.05,6,High
15372,136,27,2007.3999999999999,6,High
15373,7,132,2415.91,6,High
15374,128,3,168.0,2,Low
15376,39,117,1233.3600000000001,6,High
15379,168,194,3703.29,8,High
15380,8,36,1690.2600000000002,4,Medium
15381,213,8,596.85,3,Medium
15382,14,302,5955.71,6,High
15384,169,41,642.41,5,High
15385,39,12,316.88,2,Low
15386,185,31,394.14,4,Medium
15388,269,10,140.54,2,Low
15389,171,1,500.0,3,Medium
15392,4,84,1535.53,5,High
15393,15,12,231.86,0,Low
15394,9,85,2183.54,5,High
15395,324,7,107.45,2,Low
15396,112,14,288.18,2,Low
15397,289,6,94.0,2,Low
15398,15,73,1345.53,4,Medium
15399,0,50,815.77,4,Medium
15400,91,12,716.2,4,Medium
15402,148,42,626.77,4,Medium
15405,188,8,349.1,3,Medium
15406,30,53,510.71000000000004,4,Medium
15407,33,153,1056.44,6,High
15408,263,34,267.18,3,Medium
15410,83,122,3450.84,7,High
15411,25,99,1358.88,5,High
15412,170,10,190.53,2,Low
15414,9,39,774.9000000000001,3,Medium
15415,312,48,572.8100000000001,5,High
15416,64,192,3984.32,7,High
15417,84,28,508.8,3,Medium
15419,24,8,135.86,0,Low
15421,58,53,950.36,5,High
15422,322,6,97.7,2,Low
15423,37,2,43.5,1,Low
15424,253,17,383.34,3,Medium
15426,18,292,1447.39,5,High
15427,32,306,1483.14,6,High
15428,14,6,93.78,0,Low
15429,26,82,397.35,4,Medium
15432,22,10,171.19,0,Low
15433,213,41,533.3,4,Medium
15434,7,55,1041.48,4,Medium
15435,21,29,149.29,1,Low
15436,11,329,1122.53,5,High
15437,261,45,200.16,4,Medium
15438,130,25,156.57999999999998,3,Medium
15440,54,62,383.68,4,Medium
15442,248,2,594.0,3,Medium
15443,1,382,3236.91,6,High
15444,8,219,1418.26,5,High
15445,263,5,113.5,2,Low
15447,330,9,155.17,2,Low
15448,312,28,494.64,4,Medium
15449,25,60,974.52,4,Medium
15450,29,30,429.84,3,Medium
15452,29,58,538.73,4,Medium
15453,1,286,1388.37,5,High
15454,361,25,179.1,3,Medium
15456,282,60,447.22,5,High
15457,261,58,237.07,4,Medium
15458,24,7,161.64,0,Low
15460,353,58,216.76,4,Medium
15462,93,11,234.6,2,Low
15463,28,7,126.14,1,Low
15464,337,157,1048.85,7,High
15465,19,97,7354.62,5,High
15466,84,57,334.53,4,Medium
15467,8,52,524.88,3,Medium
15468,50,24,467.51,3,Medium
15469,49,24,538.55,3,Medium
15471,1,77,469.48,3,Medium
15472,112,76,371.56,5,High
15473,13,11,1771.2,3,Medium
15475,76,29,454.10999999999996,3,Medium
15478,39,46,1441.42,5,High
15480,115,45,905.5,6,High
15482,15,98,11054.96,5,High
15483,160,88,233.81,4,Medium
15484,0,188,3594.31,6,High
15485,29,86,2575.0,6,High
15488,92,2,91.32000000000001,2,Low
15489,22,50,1134.28,4,Medium
15491,94,154,3100.09,8,High
15492,27,35,659.4599999999999,4,Medium
15493,32,297,2001.8,7,High
15494,20,125,1299.23,5,High
15497,17,15,1262.2,2,Low
15498,1,512,13316.4,6,High
15500,7,68,1131.56,4,Medium
15502,14,213,10384.93,6,High
15503,362,70,147.09,4,Medium
15504,80,13,52.83,1,Low
15505,52,97,3610.96,6,High
15506,22,164,979.26,5,High
15507,171,46,492.36,5,High
15508,188,92,1000.27,6,High
15510,330,1,250.0,2,Low
15511,11,160,909.23,5,High
15512,155,7,121.0,2,Low
15513,32,308,14758.220000000001,7,High
15514,11,178,4139.46,6,High
15516,44,15,62.43,1,Low
15517,232,27,267.03,3,Medium
15518,63,214,1942.45,7,High
15520,1,18,343.5,2,Low
15521,39,185,3000.2,7,High
15522,32,57,398.84,4,Medium
15523,83,10,412.01000000000005,2,Low
15524,24,1,440.0,1,Low
15525,1,178,825.92,5,High
15526,32,4,148.44,1,Low
15527,18,163,2429.78,6,High
15528,253,26,229.33,3,Medium
15529,22,672,3995.23,6,High
15530,21,108,1502.35,5,High
15531,7,228,2007.44,6,High
15532,24,256,1580.93,6,High
15533,18,83,807.57,4,Medium
15535,172,75,536.4,5,High
15537,162,24,110.92,3,Medium
15539,6,41,538.46,2,Low
15540,10,15,213.3,0,Low
15541,113,29,85.13000000000001,3,Medium
15543,287,28,127.86,3,Medium
15544,8,259,3546.71,6,High
15545,53,81,292.71999999999997,3,Medium
15547,6,702,4954.84,6,High
15549,76,115,1693.26,7,High
15550,3,61,575.63,3,Medium
15551,35,29,436.06,3,Medium
15552,216,17,90.12,2,Low
15553,59,56,437.23,4,Medium
15554,277,14,217.2,2,Low
15555,11,899,4805.17,6,High
15556,23,31,279.77,1,Low
15557,27,20,473.65000000000003,3,Medium
15561,11,27,800.59,3,Medium
15562,351,1,134.55,2,Low
15563,21,113,1400.44,5,High
15565,49,8,173.16,1,Low
15567,18,7,186.01,0,Low
15568,2,53,758.29,4,Medium
15569,103,31,1375.71,5,High
15570,6,323,4165.52,6,High
15571,11,57,650.4300000000001,4,Medium
15572,4,215,2552.86,6,High
15573,31,104,607.45,5,High
15574,177,168,702.25,7,High
15576,37,45,940.6700000000001,5,High
15577,150,39,258.88,3,Medium
15578,161,13,127.1,2,Low
15579,67,51,348.6,4,Medium
15581,120,150,3679.9700000000003,8,High
15582,24,44,682.9100000000001,4,Medium
15584,23,123,725.11,5,High
15585,176,31,455.3,4,Medium
15587,49,9,913.6800000000001,3,Medium
15589,255,29,478.53000000000003,4,Medium
15592,46,24,388.58,3,Medium
15593,70,5,199.8,1,Low
15594,15,103,1771.78,6,High
15596,100,77,1406.59,6,High
15597,34,22,324.57,3,Medium
15598,52,14,240.68,1,Low
15599,26,52,761.74,5,High
15601,10,410,6776.56,6,High
15602,7,47,1297.8700000000001,4,Medium
15603,78,2,48.480000000000004,1,Low
15604,51,17,216.39,1,Low
15605,35,67,1198.23,5,High
15606,60,77,2920.16,6,High
15607,335,13,104.76,2,Low
15608,27,60,1093.68,5,High
15609,183,16,298.48,2,Low
15610,51,6,112.46000000000001,1,Low
15611,8,43,1591.45,5,High
15612,35,6,195.15,1,Low
15615,9,423,10399.74,6,High
15618,32,45,776.851,5,High
15619,10,3,336.40000000000003,1,Low
15620,55,100,1553.18,7,High
15621,3,16,1293.03,2,Low
15622,42,185,3709.56,7,High
15623,140,19,301.03,3,Medium
15624,116,34,588.13,4,Medium
15625,103,64,1534.26,7,High
15626,74,49,675.8,5,High
15628,4,155,2870.2400000000002,6,High
15630,44,60,1186.35,5,High
15632,15,167,3285.31,6,High
15634,16,15,243.55,0,Low
15636,89,25,724.76,4,Medium
15637,52,15,223.36,1,Low
15639,133,25,425.32,4,Medium
15640,3,484,12515.66,6,High
15641,104,119,1887.2,8,High
15643,191,33,664.0,5,High
15644,165,238,813.0,7,High
15645,18,52,612.01,3,Medium
15646,157,35,447.64000000000004,4,Medium
15648,203,25,657.35,5,High
15649,335,2,816.0,4,Medium
15651,36,32,646.3,4,Medium
15652,90,21,337.74,4,Medium
15653,92,6,877.4399999999999,4,Medium
15654,8,21,922.53,3,Medium
15655,242,34,560.67,4,Medium
15656,44,47,890.65,5,High
15657,22,1,30.0,0,Low
15658,189,48,1024.1000000000001,6,High
15659,43,11,306.45,2,Low
15660,24,90,1600.86,5,High
15661,316,5,309.8,3,Medium
15663,105,9,138.14,2,Low
15664,50,17,386.43,2,Low
15665,167,116,2242.01,8,High
15667,39,13,301.32,1,Low
15668,217,1,76.32000000000001,2,Low
15669,39,33,684.34,4,Medium
15670,296,12,173.05,2,Low
15671,17,78,2657.13,5,High
15673,87,155,2881.02,7,High
15674,72,114,2446.6,7,High
15675,80,21,323.69,3,Medium
15676,17,202,3435.76,6,High
15677,48,33,657.23,4,Medium
15678,52,12,352.7,2,Low
15679,23,110,781.28,5,High
15680,8,78,1333.68,4,Medium
15681,24,53,1426.16,4,Medium
15683,116,10,193.75,2,Low
15687,8,166,2993.1,6,High
15689,119,9,254.1,2,Low
15690,3,19,239.76,1,Low
15691,251,2,136.8,2,Low
15692,27,12,191.04,1,Low
15694,0,78,6479.4,5,High
15695,266,22,409.98,4,Medium
15696,32,171,2736.46,7,High
15699,17,18,309.65,2,Low
15700,171,86,696.68,6,High
15701,1,237,1542.14,6,High
15703,264,5,211.5,2,Low
15704,139,117,2293.62,8,High
15705,200,6,143.1,2,Low
15706,63,55,1060.56,5,High
15707,34,214,945.58,6,High
15708,40,288,3364.2400000000002,7,High
15709,283,6,133.25,2,Low
15712,8,53,1072.3600000000001,4,Medium
15713,142,19,356.7,4,Medium
15714,11,35,330.88,2,Low
15716,145,118,1118.81,7,High
15717,233,7,150.3,2,Low
15719,32,937,5045.61,7,High
15720,23,128,598.73,4,Medium
15721,11,91,507.08,3,Medium
15722,35,69,2222.56,6,High
15723,364,41,203.1,3,Medium
15724,200,11,218.25,2,Low
15725,14,32,415.25,2,Low
15727,15,302,5178.96,6,High
15729,211,5,85.0,2,Low
15730,65,70,1120.88,5,High
15732,211,14,294.12,2,Low
15733,282,10,162.3,2,Low
15734,114,26,1339.45,5,High
15737,14,72,1205.1200000000001,4,Medium
15738,18,173,4812.42,6,High
15739,65,8,449.12,2,Low
15740,48,9,154.88,1,Low
15743,15,88,784.46,4,Medium
15744,77,3,34.8,1,Low
15745,18,62,1094.59,4,Medium
15746,133,28,196.88,3,Medium
15747,12,93,974.04,4,Medium
15748,39,21,149.31,2,Low
15749,234,10,44534.3,5,High
15750,1,293,2465.48,6,High
15752,39,411,2637.38,7,High
15753,303,1,79.2,2,Low
15754,50,28,458.57,3,Medium
15755,9,141,2364.25,6,High
15756,60,192,532.96,5,High
15757,65,45,714.42,5,High
15758,24,9,205.25,0,Low
15759,217,7,253.04,2,Low
15762,64,37,583.75,3,Medium
15763,31,61,1086.92,5,High
15764,87,180,3279.97,7,High
15766,63,11,315.06,2,Low
15768,115,27,621.8299999999999,4,Medium
15769,6,130,56252.72,6,High
15773,4,10,635.6800000000001,1,Low
15774,68,25,270.8,2,Low
15775,244,7,104.9,2,Low
15776,132,18,241.62,3,Medium
15777,240,21,1047.11,5,High
15780,183,29,475.28000000000003,4,Medium
15781,24,20,345.46,2,Low
15782,9,43,2614.7400000000002,5,High
15783,10,14,246.3,0,Low
15785,32,83,2328.9700000000003,6,High
15786,45,267,4932.2,7,High
15787,25,206,948.05,5,High
15789,357,25,351.3,4,Medium
15790,9,35,220.85,1,Low
15791,43,75,1612.69,6,High
15793,14,12,965.61,2,Low
15795,149,42,610.01,4,Medium
15796,0,133,2711.56,6,High
15797,112,8,2207.4,5,High
15799,74,98,884.14,5,High
15800,106,119,699.08,7,High
15801,45,64,1063.95,5,High
15802,142,1,451.42,3,Medium
15803,50,8,415.82000000000005,2,Low
15804,0,263,4206.39,6,High
15805,22,301,5528.4800000000005,6,High
15806,45,31,784.58,4,Medium
15807,49,48,903.9,5,High
15808,305,208,3734.9700000000003,8,High
15809,35,35,515.77,3,Medium
15810,78,89,1391.98,5,High
