用户码,R值,F值,M值,总分,rank
15038,58,130,705.49,6,247
15700,171,86,696.68,6,248
16014,37,145,662.38,6,249
15334,156,99,351.67,6,250
15880,368,105,343.28000000000003,6,251
15749,234,10,44534.3,5,252
15098,181,3,39916.5,5,253
15482,15,98,11054.96,5,254
15465,19,97,7354.62,5,255
15694,0,78,6479.4,5,256
15903,9,74,5126.76,5,257
15187,1,91,4777.18,5,258
14739,3,60,3902.28,5,259
15981,24,97,3408.48,5,260
15671,17,78,2657.13,5,261
15782,9,43,2614.74,5,262
15797,112,8,2207.4,5,263
15179,17,93,2206.95,5,264
15394,9,85,2183.54,5,265
14828,196,17,2139.76,5,266
15814,16,72,1945.33,5,267
14935,296,10,1784.71,5,268
15050,24,78,1782.09,5,269
14834,17,67,1720.3,5,270
15947,82,29,1708.24,5,271
15953,14,98,1659.38,5,272
14937,56,34,1621.88,5,273
15660,24,90,1600.86,5,274
14970,67,34,1592.06,5,275
15611,8,43,1591.45,5,276
15117,14,79,1551.78,5,277
15392,4,84,1535.53,5,278
15530,21,108,1502.35,5,279
15057,274,25,1489.5,5,280
14963,9,198,1487.8,5,281
14878,12,124,1485.54,5,282
15983,21,113,1475.02,5,283
15987,11,140,1451.28,5,284
15426,18,292,1447.39,5,285
15478,39,46,1441.42,5,286
15858,14,191,1438.85,5,287
15106,17,100,1422.52,5,288
15444,8,219,1418.26,5,289
14748,28,89,1415.75,5,290
16012,34,94,1415.29,5,291
15237,1,99,1412.32,5,292
15563,21,113,1400.44,5,293
15810,78,89,1391.98,5,294
15051,22,143,1391.61,5,295
15453,1,286,1388.37,5,296
15569,103,31,1375.71,5,297
15411,25,99,1358.88,5,298
15734,114,26,1339.45,5,299
14921,29,78,1316.07,5,300
14738,42,54,1314.45,5,301
14973,106,32,1314.45,5,302
14856,35,66,1311.38,5,303
15813,207,40,1303.91,5,304
14898,22,116,1303.52,5,305
15494,20,125,1299.23,5,306
14916,70,77,1268.98,5,307
15009,11,182,1261.78,5,308
14698,1,210,1250.76,5,309
15201,86,69,1236.54,5,310
14684,25,421,1236.28,5,311
15910,0,267,1232.18,5,312
14913,35,87,1227.43,5,313
15841,72,47,1224.06,5,314
15227,36,58,1219.4,5,315
15605,35,67,1198.23,5,316
15630,44,60,1186.35,5,317
15306,63,58,1174.35,5,318
14857,59,60,1173.12,5,319
14723,9,278,1158.3,5,320
15985,122,37,1142.42,5,321
15436,11,329,1122.53,5,322
15730,65,70,1120.88,5,323
15978,76,49,1098.78,5,324
15608,27,60,1093.68,5,325
15763,31,61,1086.92,5,326
15238,28,50,1071.99,5,327
15801,45,64,1063.95,5,328
15706,63,55,1060.56,5,329
15329,38,57,1049.7,5,330
15839,32,62,1048.49,5,331
15777,240,21,1047.11,5,332
14775,57,60,1011.9,5,333
15062,70,57,987.86,5,334
15133,127,29,982.42,5,335
15071,93,26,982.07,5,336
15506,22,164,979.26,5,337
15907,3,249,967.45,5,338
15835,43,50,954.09,5,339
15421,58,53,950.36,5,340
15787,25,206,948.05,5,341
15576,37,45,940.67,5,342
15289,28,58,939.78,5,343
15312,74,47,924.85,5,344
15364,95,29,913.19,5,345
15511,11,160,909.23,5,346
15022,10,135,905.04,5,347
15807,49,48,903.9,5,348
15211,59,52,894.4100000000001,5,349
15255,65,47,890.85,5,350
15656,44,47,890.65,5,351
15799,74,98,884.14,5,352
15965,16,122,845.64,5,353
15525,1,178,825.92,5,354
15952,33,91,806.57,5,355
15831,57,68,801.76,5,356
15990,43,52,792.11,5,357
14976,56,72,790.86,5,358
15679,23,110,781.28,5,359
14815,36,53,778.5,5,360
15618,32,45,776.851,5,361
15599,26,52,761.74,5,362
15223,225,20,755.75,5,363
14923,50,44,749.1,5,364
15074,104,42,748.87,5,365
15252,35,44,740.78,5,366
14778,126,35,730.86,5,367
15584,23,123,725.11,5,368
15272,56,63,721.94,5,369
15757,65,45,714.42,5,370
14867,185,36,710.28,5,371
14880,76,47,706.19,5,372
16015,3,182,705.39,5,373
14959,63,59,695.42,5,374
15626,74,49,675.8,5,375
15031,3,111,668.14,5,376
15643,191,33,664.0,5,377
14818,73,48,657.8,5,378
15648,203,25,657.35,5,379
14855,118,20,645.65,5,380
15384,169,41,642.41,5,381
15829,98,51,636.14,5,382
15573,31,104,607.45,5,383
14965,95,83,599.0,5,384
14692,136,68,591.55,5,385
15415,312,48,572.8100000000001,5,386
15068,45,104,553.36,5,387
15535,172,75,536.4,5,388
15756,60,192,532.96,5,389
15891,225,62,524.52,5,390
15006,50,144,502.09,5,391
15507,171,46,492.36,5,392
15349,157,72,473.81,5,393
14896,204,43,468.77,5,394
15036,71,127,465.55,5,395
15456,282,60,447.22,5,396
15889,156,93,446.87,5,397
15976,164,98,430.94,5,398
14998,169,75,429.87,5,399
15012,53,128,423.04,5,400
16010,245,86,407.5,5,401
15472,112,76,371.56,5,402
14823,179,70,321.43,5,403
14729,372,71,313.49,5,404
