用户编号,年龄,性别,状态,下单次数,视力,月收入,月消费,近期购买产品,已注册月,收入消费比,年龄层次,收入等级,消费等级,R_Stage,F_Stage,M_Stage,用户价值,综合分群
U023,24,男,单身,4,3,52069,94,贝尔防黑色假发(高级黑),6,0.0018052968176842266,Z世代(18-27),高收入,低消费,活跃用户,中频,低价值,潜力用户,高端假发追求者
U024,24,男,有朋友,5,5,54343,188,贝尔防黑色假发(高级黑),6,0.0034595072042397364,Z世代(18-27),高收入,中消费,活跃用户,中频,中价值,其他,高端假发追求者
U027,24,男,单身,4,3,56617,75,贝尔防黑色假发(高级黑),6,0.0013246904639949131,Z世代(18-27),高收入,低消费,活跃用户,中频,低价值,潜力用户,高端假发追求者
U032,25,女,单身,3,4,30932,113,贝尔防黑色假发(高级黑),6,0.003653174705806285,Z世代(18-27),高收入,中消费,活跃用户,低频,中价值,其他,高端假发追求者
U033,25,男,有朋友,2,2,50932,47,贝尔防黑色假发(高级黑),6,0.0009227990261525171,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U034,25,女,单身,3,3,33206,85,贝尔防黑色假发(高级黑),6,0.002559778353309643,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U036,26,男,有朋友,4,3,62302,113,贝尔防黑色假发(高级黑),6,0.0018137459471606048,Z世代(18-27),高收入,中消费,活跃用户,中频,中价值,其他,高端假发追求者
U037,26,女,有朋友,2,2,43439,47,贝尔防黑色假发(高级黑),6,0.0010819770252538043,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U038,26,女,有朋友,3,3,41165,85,贝尔防黑色假发(高级黑),6,0.002064860925543544,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U039,26,男,单身,3,3,96384,66,贝尔防黑色假发(高级黑),6,0.0006847609561752988,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U040,26,女,有朋友,4,4,34343,132,贝尔防黑色假发(高级黑),6,0.0038435780217220394,Z世代(18-27),高收入,中消费,活跃用户,中频,中价值,其他,高端假发追求者
U041,26,女,单身,3,3,40028,85,贝尔防黑色假发(高级黑),6,0.002123513540521635,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U043,27,女,单身,4,3,44576,85,贝尔防黑色假发(高级黑),6,0.0019068557071069633,Z世代(18-27),高收入,低消费,活跃用户,中频,低价值,潜力用户,高端假发追求者
U046,28,男,有朋友,2,3,62302,66,贝尔防黑色假发(高级黑),6,0.0010593560399345125,千禧一代(28-38),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U050,28,男,有朋友,3,3,91165,56,贝尔防黑色假发(高级黑),6,0.000614270827620249,千禧一代(28-38),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U053,29,男,有朋友,4,3,60028,94,贝尔防黑色假发(高级黑),6,0.0015659358965815953,千禧一代(28-38),高收入,低消费,活跃用户,中频,低价值,潜力用户,高端假发追求者
U060,33,男,单身,2,2,65713,38,贝尔防黑色假发(高级黑),6,0.0005782721835862006,千禧一代(28-38),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U061,33,男,有朋友,3,3,56617,85,贝尔防黑色假发(高级黑),6,0.0015013158591942349,千禧一代(28-38),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U062,34,女,单身,4,5,41165,169,贝尔防黑色假发(高级黑),6,0.004105429369610105,千禧一代(28-38),高收入,中消费,活跃用户,中频,中价值,其他,高端假发追求者
U063,34,男,单身,2,2,62302,66,贝尔防黑色假发(高级黑),6,0.0010593560399345125,千禧一代(28-38),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U064,35,女,有朋友,4,3,38891,85,贝尔防黑色假发(高级黑),6,0.002185595639093878,千禧一代(28-38),高收入,低消费,活跃用户,中频,低价值,潜力用户,高端假发追求者
U065,35,男,有朋友,3,3,70261,94,贝尔防黑色假发(高级黑),6,0.0013378688034613798,千禧一代(28-38),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U068,37,男,有朋友,3,3,47521,85,贝尔防黑色假发(高级黑),6,0.0017886828980871615,千禧一代(28-38),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U069,38,女,有朋友,3,3,36617,75,贝尔防黑色假发(高级黑),6,0.0020482289646885326,千禧一代(28-38),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U072,38,女,有朋友,3,3,46850,75,贝尔防黑色假发(高级黑),6,0.0016008537886872999,千禧一代(28-38),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U073,39,女,有朋友,4,4,49124,132,贝尔防黑色假发(高级黑),6,0.002687077599544011,成熟用户(39+),高收入,中消费,活跃用户,中频,中价值,其他,高端假发追求者
U074,40,女,有朋友,3,3,51398,66,贝尔防黑色假发(高级黑),6,0.0012840966574574886,成熟用户(39+),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U075,41,女,有朋友,4,3,44576,103,贝尔防黑色假发(高级黑),6,0.002310660445082556,成熟用户(39+),高收入,中消费,活跃用户,中频,中价值,其他,高端假发追求者
U076,43,女,有朋友,3,3,43439,66,贝尔防黑色假发(高级黑),6,0.0015193719929095975,成熟用户(39+),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U077,44,男,单身,3,4,67987,75,贝尔防黑色假发(高级黑),6,0.0011031520731904628,成熟用户(39+),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U078,46,男,有朋友,3,2,70261,47,贝尔防黑色假发(高级黑),6,0.0006689344017306899,成熟用户(39+),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U079,47,女,有朋友,4,3,46850,94,贝尔防黑色假发(高级黑),6,0.002006403415154749,成熟用户(39+),高收入,低消费,活跃用户,中频,低价值,潜力用户,高端假发追求者
U080,50,男,有朋友,3,3,74809,66,贝尔防黑色假发(高级黑),6,0.0008822467884880161,成熟用户(39+),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U086,21,女,有朋友,2,2,24110,42,敦乐视疲劳滴眼液(13ML),6,0.0017420157610949813,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,其他用户群体
U090,23,男,单身,3,3,55480,95,敦乐视疲劳滴眼液(13ML),6,0.0017123287671232876,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,其他用户群体
U091,23,女,有朋友,4,3,35480,127,敦乐视疲劳滴眼液(13ML),6,0.003579481397970688,Z世代(18-27),高收入,中消费,活跃用户,中频,中价值,其他,其他用户群体
U092,23,男,有朋友,3,2,53206,74,敦乐视疲劳滴眼液(13ML),6,0.0013908205841446453,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,其他用户群体
U094,23,女,有朋友,3,3,35480,64,敦乐视疲劳滴眼液(13ML),6,0.0018038331454340473,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,其他用户群体
U097,24,男,单身,3,3,60028,106,敦乐视疲劳滴眼液(13ML),6,0.001765842606783501,Z世代(18-27),高收入,中消费,活跃用户,低频,中价值,其他,其他用户群体
U100,25,女,有朋友,2,2,42302,42,敦乐视疲劳滴眼液(13ML),6,0.0009928608576426647,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,其他用户群体
U106,25,女,有朋友,2,3,40028,53,敦乐视疲劳滴眼液(13ML),6,0.0013240731487958429,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,其他用户群体
U109,26,男,有朋友,4,3,55480,85,敦乐视疲劳滴眼液(13ML),6,0.0015320836337418889,Z世代(18-27),高收入,低消费,活跃用户,中频,低价值,潜力用户,其他用户群体
U110,26,男,单身,4,4,60028,127,敦乐视疲劳滴眼液(13ML),6,0.002115679349636836,Z世代(18-27),高收入,中消费,活跃用户,中频,中价值,其他,其他用户群体
U111,26,女,单身,4,3,41165,106,敦乐视疲劳滴眼液(13ML),6,0.0025750030365601848,Z世代(18-27),高收入,中消费,活跃用户,中频,中价值,其他,其他用户群体
U116,31,女,有朋友,3,3,42302,95,敦乐视疲劳滴眼液(13ML),6,0.002245756701810789,千禧一代(28-38),高收入,低消费,活跃用户,低频,低价值,潜力用户,品质生活追求者
U117,31,男,有朋友,2,3,61165,64,敦乐视疲劳滴眼液(13ML),6,0.0010463500367857434,千禧一代(28-38),高收入,低消费,活跃用户,低频,低价值,潜力用户,品质生活追求者
U119,32,女,单身,4,3,50261,127,敦乐视疲劳滴眼液(13ML),6,0.002526810051531008,千禧一代(28-38),高收入,中消费,活跃用户,中频,中价值,其他,品质生活追求者
U120,32,女,有朋友,3,3,43439,95,敦乐视疲劳滴眼液(13ML),6,0.0021869748382789657,千禧一代(28-38),高收入,低消费,活跃用户,低频,低价值,潜力用户,品质生活追求者
U122,33,男,有朋友,2,3,60028,85,敦乐视疲劳滴眼液(13ML),6,0.0014160058639301658,千禧一代(28-38),高收入,低消费,活跃用户,低频,低价值,潜力用户,品质生活追求者
U123,33,女,有朋友,3,3,41165,95,敦乐视疲劳滴眼液(13ML),6,0.002307785740313373,千禧一代(28-38),高收入,低消费,活跃用户,低频,低价值,潜力用户,品质生活追求者
U124,33,男,有朋友,5,3,63439,95,敦乐视疲劳滴眼液(13ML),6,0.001497501536909472,千禧一代(28-38),高收入,低消费,活跃用户,中频,低价值,潜力用户,品质生活追求者
U126,34,男,有朋友,4,3,74809,95,敦乐视疲劳滴眼液(13ML),6,0.0012699006803994172,千禧一代(28-38),高收入,低消费,活跃用户,中频,低价值,潜力用户,品质生活追求者
U127,34,女,有朋友,3,4,49124,85,敦乐视疲劳滴眼液(13ML),6,0.001730315120918492,千禧一代(28-38),高收入,低消费,活跃用户,低频,低价值,潜力用户,品质生活追求者
U130,35,女,有朋友,3,2,43439,53,敦乐视疲劳滴眼液(13ML),6,0.0012201017518819494,千禧一代(28-38),高收入,低消费,活跃用户,低频,低价值,潜力用户,品质生活追求者
U131,35,男,单身,3,2,60028,64,敦乐视疲劳滴眼液(13ML),6,0.001066169121076831,千禧一代(28-38),高收入,低消费,活跃用户,低频,低价值,潜力用户,品质生活追求者
U132,35,女,有朋友,3,3,43439,95,敦乐视疲劳滴眼液(13ML),6,0.0021869748382789657,千禧一代(28-38),高收入,低消费,活跃用户,低频,低价值,潜力用户,品质生活追求者
U133,37,男,有朋友,2,3,58891,85,敦乐视疲劳滴眼液(13ML),6,0.001443344483876993,千禧一代(28-38),高收入,低消费,活跃用户,低频,低价值,潜力用户,品质生活追求者
U134,38,男,有朋友,4,3,72535,85,敦乐视疲劳滴眼液(13ML),6,0.0011718480733439029,千禧一代(28-38),高收入,低消费,活跃用户,中频,低价值,潜力用户,品质生活追求者
U135,38,女,有朋友,3,3,49124,106,敦乐视疲劳滴眼液(13ML),6,0.0021578047390277666,千禧一代(28-38),高收入,中消费,活跃用户,低频,中价值,其他,品质生活追求者
U136,40,男,有朋友,3,3,71398,85,敦乐视疲劳滴眼液(13ML),6,0.0011905095380822992,成熟用户(39+),高收入,低消费,活跃用户,低频,低价值,潜力用户,品质生活追求者
U137,40,男,单身,3,3,67987,85,敦乐视疲劳滴眼液(13ML),6,0.0012502390162825246,成熟用户(39+),高收入,低消费,活跃用户,低频,低价值,潜力用户,品质生活追求者
U138,40,女,有朋友,3,3,54809,95,敦乐视疲劳滴眼液(13ML),6,0.0017332919775949205,成熟用户(39+),高收入,低消费,活跃用户,低频,低价值,潜力用户,品质生活追求者
U139,45,女,有朋友,2,2,44576,42,敦乐视疲劳滴眼液(13ML),6,0.0009422110552763819,成熟用户(39+),高收入,低消费,活跃用户,低频,低价值,潜力用户,品质生活追求者
U140,48,女,有朋友,2,3,47987,64,敦乐视疲劳滴眼液(13ML),6,0.0013336945422718653,成熟用户(39+),高收入,低消费,活跃用户,低频,低价值,潜力用户,品质生活追求者
U142,22,女,单身,3,5,44781,120,9色钻石珠光眼影盘,6,0.0026797079118376097,Z世代(18-27),高收入,中消费,活跃用户,低频,中价值,其他,年轻时尚达人
U144,23,女,单身,4,5,48516,140,9色钻石珠光眼影盘,6,0.002885645972462693,Z世代(18-27),高收入,中消费,活跃用户,中频,中价值,其他,年轻时尚达人
U146,23,女,单身,4,5,38556,100,9色钻石珠光眼影盘,6,0.002593630044610437,Z世代(18-27),高收入,低消费,活跃用户,中频,低价值,潜力用户,年轻时尚达人
U150,24,女,单身,5,5,39801,160,9色钻石珠光眼影盘,6,0.004019999497500063,Z世代(18-27),高收入,中消费,活跃用户,中频,中价值,其他,年轻时尚达人
U151,25,女,有朋友,4,5,39801,120,9色钻石珠光眼影盘,6,0.003014999623125047,Z世代(18-27),高收入,中消费,活跃用户,中频,中价值,其他,年轻时尚达人
U152,25,女,单身,4,4,52251,160,9色钻石珠光眼影盘,6,0.0030621423513425582,Z世代(18-27),高收入,中消费,活跃用户,中频,中价值,其他,年轻时尚达人
U159,26,女,单身,5,4,54741,180,9色钻石珠光眼影盘,6,0.003288211760837398,Z世代(18-27),高收入,中消费,活跃用户,中频,中价值,其他,年轻时尚达人
U160,27,女,有朋友,4,5,73416,160,9色钻石珠光眼影盘,6,0.0021793614470960007,Z世代(18-27),高收入,中消费,活跃用户,中频,中价值,其他,年轻时尚达人
U168,30,男,有朋友,6,5,80560,280,9色钻石珠光眼影盘,6,0.003475670307845084,千禧一代(28-38),高收入,中消费,活跃用户,高频,中价值,其他,其他用户群体
U171,31,女,有朋友,6,5,79641,260,9色钻石珠光眼影盘,6,0.003264650117401841,千禧一代(28-38),高收入,中消费,活跃用户,高频,中价值,其他,其他用户群体
U173,34,女,单身,5,5,82131,150,9色钻石珠光眼影盘,6,0.0018263505862585383,千禧一代(28-38),高收入,中消费,活跃用户,中频,中价值,其他,其他用户群体
