用户码,裂变类型,是否转化,P_TR,P_TN,P_CR,P_CN,增量分数
38927,助力砍价,0,0.121836595,0.41792315,0.062439103,0.39780113,0.18011487
51682,无裂变页面,0,0.12234109,0.37117004,0.065948464,0.4405404,0.23538446
44855,助力砍价,0,0.04652762,0.52818143,0.011826416,0.41346452,0.10630143
47034,无裂变页面,0,0.13294408,0.34518644,0.009727088,0.5121424,0.5188218
18472,助力砍价,1,0.08089614,0.3488622,0.078063324,0.4921784,0.10268235
3197,助力砍价,0,0.15046576,0.52706355,0.074155964,0.24831474,-0.015763521
4110,无裂变页面,0,0.048652608,0.26610208,0.06632209,0.61892325,0.11557442
2838,助力砍价,1,0.040824533,0.26380533,0.01812008,0.67725,0.21591085
48968,助力砍价,0,0.04880373,0.62161,0.013092511,0.3164938,0.066144764
7659,无裂变页面,0,0.10902421,0.3053333,0.16789356,0.41774896,-0.04713276
16233,助力砍价,0,0.02628302,0.29390976,0.044266164,0.635541,0.033938527
39586,无裂变页面,0,0.109396316,0.32560712,0.05797521,0.50702137,0.2977443
48470,助力砍价,1,0.26413366,0.43392834,0.1007424,0.20119557,0.08945747
17595,无裂变页面,0,0.0579231,0.5878103,0.01962209,0.33464456,0.06862664
20655,无裂变页面,0,0.026251856,0.4559849,0.02647799,0.49128523,0.006597042
11025,助力砍价,0,0.1059524,0.2682543,0.2936202,0.3321731,-0.37211615
42223,助力砍价,0,0.024278432,0.39536393,0.009530266,0.57082736,0.08286744
47144,无裂变页面,0,0.05297543,0.35923195,0.011420956,0.57637167,0.21817237
6359,无裂变页面,1,0.108768046,0.4452162,0.053103156,0.39291263,0.15455335
35392,助力砍价,0,0.08490378,0.35168663,0.033758353,0.5296512,0.2691043
50974,无裂变页面,0,0.055881366,0.44189718,0.0028065045,0.49941495,0.21334654
21855,无裂变页面,0,0.042659424,0.49047393,0.012106641,0.45476002,0.108169496
24434,无裂变页面,0,0.061137535,0.44392264,0.08422228,0.41071752,-0.09823346
60424,助力砍价,0,0.046044163,0.3944645,0.049096376,0.510395,0.03354633
62494,无裂变页面,0,0.08811842,0.39744985,0.06493927,0.44949245,0.11047983
22318,助力砍价,0,0.09150466,0.33236566,0.014597784,0.5615319,0.38108248
50819,无裂变页面,0,0.19863206,0.44970837,0.03334212,0.3183174,0.42311275
55715,助力砍价,0,0.08776313,0.45915464,0.04668624,0.40639597,0.114854395
56372,助力砍价,0,0.043359876,0.40375116,0.021464113,0.5314248,0.116312265
23157,无裂变页面,0,0.15812804,0.36786386,0.07675995,0.39724815,0.27738047
1583,助力砍价,0,0.045074534,0.3679046,0.095932946,0.49108788,-0.108557165
46437,助力砍价,0,0.09127552,0.3907144,0.060761664,0.45724836,0.14414799
27810,无裂变页面,0,0.06338269,0.26866335,0.034405578,0.6335484,0.27875262
51174,无裂变页面,0,0.1284893,0.39195415,0.02927981,0.4502767,0.37165654
38537,助力砍价,0,0.049291853,0.39554697,0.032645755,0.5225154,0.104008436
49656,助力砍价,0,0.06396839,0.41411868,0.05289595,0.469017,0.06490123
8930,助力砍价,1,0.20464842,0.26100132,0.22605035,0.30829987,0.032904446
8305,助力砍价,1,0.031909265,0.3520476,0.060193148,0.55584997,-0.029205859
23152,无裂变页面,0,0.121092014,0.5118615,0.041135147,0.32591134,0.15848404
38075,无裂变页面,0,0.25607428,0.20792992,0.1174755,0.41852027,0.66541356
24150,助力砍价,0,0.08442059,0.29464722,0.019862171,0.60107005,0.38143623
12601,无裂变页面,0,0.09459074,0.37194842,0.092311285,0.44114956,0.059415042
25899,助力砍价,0,0.052749157,0.36341572,0.012220093,0.571615,0.21163982
9226,无裂变页面,0,0.043688048,0.5796654,0.011352626,0.36529392,0.0798884
60578,无裂变页面,0,0.18489605,0.17339133,0.048591744,0.5931209,0.88066643
15828,无裂变页面,1,0.035445258,0.520269,0.030472565,0.41381317,-0.009609044
33975,助力砍价,0,0.09517802,0.4102198,0.07253243,0.42206973,0.08334994
59056,无裂变页面,0,0.23830864,0.25468642,0.15507184,0.35193312,0.35506177
47738,无裂变页面,0,0.1001802,0.5032913,0.036648843,0.35987964,0.14716458
20552,助力砍价,0,0.045749612,0.4611922,0.053463854,0.4395943,-0.036373794
60774,助力砍价,0,0.06457521,0.3639443,0.059750594,0.5117299,0.092279315
37800,无裂变页面,0,0.08135141,0.31419903,0.012096521,0.59235305,0.37130767
2749,无裂变页面,0,0.12764703,0.34869924,0.082650356,0.4410034,0.22027424
46081,无裂变页面,0,0.047274526,0.32718173,0.029158792,0.59638494,0.15926999
43279,无裂变页面,1,0.21651539,0.3621515,0.0984442,0.32288888,0.28102612
47556,无裂变页面,0,0.043552026,0.3123996,0.015578915,0.6284695,0.19632936
12771,无裂变页面,0,0.075715795,0.4219823,0.008559343,0.49374256,0.27018344
3763,助力砍价,0,0.10105582,0.36136508,0.03950705,0.49807203,0.29009157
62238,无裂变页面,0,0.0761975,0.5503286,0.09865818,0.2748157,-0.28508896
10722,无裂变页面,0,0.10574834,0.37907642,0.026229559,0.48894572,0.33440554
7353,助力砍价,0,0.14808983,0.22254331,0.15282094,0.47654596,0.31348425
42457,无裂变页面,0,0.08372863,0.40751252,0.086611144,0.42214775,0.00040596724
44440,助力砍价,1,0.042962268,0.38816354,0.021355428,0.5475188,0.12422305
37138,无裂变页面,0,0.056000914,0.4548485,0.057652652,0.43149796,-0.016479313
53727,无裂变页面,0,0.032509446,0.62589866,0.013699628,0.32789227,0.018541217
16609,助力砍价,0,0.046026662,0.44829702,0.03477731,0.47089902,0.048672974
40231,助力砍价,0,0.17204063,0.45396695,0.0718384,0.302154,0.16547346
835,无裂变页面,0,0.072343566,0.53698176,0.048577536,0.34209713,-0.011230767
25195,无裂变页面,0,0.032651473,0.55973595,0.010158704,0.3974539,0.060391963
18893,无裂变页面,0,0.038267855,0.51173633,0.0036346088,0.44636118,0.12300086
52742,助力砍价,1,0.21537718,0.41499633,0.17579031,0.19383623,-0.26784605
51524,无裂变页面,0,0.034623753,0.6768611,0.0073506916,0.28116444,0.04637283
14507,无裂变页面,0,0.047188234,0.44273677,0.012919558,0.49715537,0.14197701
10100,无裂变页面,0,0.120189555,0.3174542,0.0652123,0.497144,0.3173323
15141,无裂变页面,0,0.024263319,0.61356556,0.03404966,0.32812145,-0.1119498
24838,无裂变页面,0,0.0745075,0.5305015,0.06637016,0.32862085,-0.089756966
40402,助力砍价,0,0.06670127,0.33103678,0.029759295,0.5725026,0.23657787
53648,助力砍价,0,0.03473233,0.3724436,0.026204241,0.5666199,0.082196414
51979,助力砍价,0,0.1923828,0.3200104,0.055264562,0.4323423,0.5242419
31018,助力砍价,1,0.05150338,0.43160498,0.060807183,0.45608446,-0.022063553
26196,助力砍价,0,0.09345715,0.28462693,0.032639634,0.58927625,0.38940758
39895,助力砍价,0,0.094715245,0.43723533,0.043497425,0.424552,0.17023867
19860,无裂变页面,0,0.17478378,0.4045839,0.13068877,0.28994352,-0.018031508
57885,助力砍价,1,0.03195107,0.47647557,0.03434771,0.45722568,-0.014059901
42353,无裂变页面,1,0.1256488,0.47629577,0.04661204,0.35144338,0.18327749
49698,助力砍价,0,0.021468382,0.3505159,0.0039209095,0.6240948,0.102939546
32027,助力砍价,0,0.05851272,0.5043479,0.101238355,0.335901,-0.25527376
57543,无裂变页面,0,0.10386675,0.3475568,0.05660445,0.49197203,0.25380582
38780,无裂变页面,0,0.0854086,0.44776478,0.08606766,0.3807589,-0.048356712
19575,助力砍价,0,0.031201968,0.49902272,0.025216112,0.44455922,0.0103394985
9446,无裂变页面,0,0.0335709,0.41452473,0.022912806,0.5289915,0.06680626
9372,无裂变页面,0,0.03153566,0.43761554,0.021194948,0.5096538,0.054584086
26658,无裂变页面,0,0.12351743,0.4382699,0.113354154,0.3248585,-0.07761747
33707,助力砍价,0,0.039992757,0.41895157,0.008176008,0.53287965,0.144059
22556,助力砍价,1,0.05280416,0.31929898,0.01897361,0.60892326,0.22337931
21393,无裂变页面,0,0.05374442,0.29873368,0.026894093,0.6206278,0.22188407
6855,助力砍价,0,0.05867377,0.41495553,0.017181942,0.5091887,0.18247789
2386,无裂变页面,0,0.09610562,0.3715964,0.032070935,0.50022703,0.2904696
59944,无裂变页面,0,0.1321216,0.38566214,0.08669249,0.3955238,0.15077657
15576,助力砍价,0,0.041770063,0.37637976,0.053532947,0.5283173,0.01577574
16987,无裂变页面,0,0.23833355,0.36145136,0.048460938,0.35175416,0.5525556
57056,助力砍价,0,0.050049014,0.287657,0.025544465,0.63674957,0.21926647
48100,助力砍价,0,0.10927963,0.357486,0.078694865,0.45453948,0.1730814
18511,无裂变页面,0,0.0945032,0.47660297,0.059747856,0.36914593,0.05233419
20902,助力砍价,0,0.07090786,0.4610797,0.024325466,0.44368702,0.16262496
39395,助力砍价,0,0.20859128,0.39928564,0.060800623,0.3313225,0.37618464
32288,助力砍价,0,0.04650264,0.47804,0.11082407,0.36463323,-0.28887153
48794,助力砍价,0,0.17191927,0.35257727,0.044717368,0.4307861,0.46747494
2835,无裂变页面,0,0.071876444,0.41570187,0.037074976,0.47534665,0.15012538
31541,无裂变页面,1,0.1402844,0.44458413,0.043397803,0.3717337,0.2706328
44601,无裂变页面,0,0.084980585,0.315931,0.054075215,0.5450132,0.24341178
4606,助力砍价,0,0.04820466,0.4434708,0.4011095,0.10721501,-1.3820798
39792,助力砍价,0,0.05519705,0.49802983,0.014025809,0.43274727,0.13675869
46884,助力砍价,0,0.06978421,0.31650957,0.047050532,0.5666557,0.20796877
3348,助力砍价,0,0.023796437,0.43287677,0.012960648,0.5303662,0.056507945
35566,助力砍价,0,0.0938311,0.47110608,0.036174063,0.39888877,0.1658889
35872,助力砍价,0,0.07905862,0.24696961,0.079502225,0.5944695,0.24905866
35366,无裂变页面,0,0.0793492,0.43670598,0.04769894,0.4362459,0.110396564
51485,无裂变页面,0,0.12360643,0.34473258,0.0897872,0.4418738,0.1900892
40340,无裂变页面,0,0.121014304,0.47165358,0.029536106,0.37779605,0.26334924
47302,无裂变页面,0,0.22090621,0.24351172,0.13757055,0.39801157,0.43760157
38535,助力砍价,0,0.06112462,0.45156264,0.066701666,0.4206111,-0.035305083
3001,助力砍价,1,0.10927963,0.357486,0.078694865,0.45453948,0.1730814
23500,助力砍价,0,0.083615,0.52069205,0.13017023,0.26552278,-0.38120526
8669,无裂变页面,0,0.053338602,0.4560894,0.01693299,0.47363904,0.14037222
9493,助力砍价,1,0.1773413,0.28807238,0.054048117,0.48053825,0.55987495
11141,无裂变页面,0,0.04244464,0.5270855,0.002964511,0.4275053,0.1352781
61388,助力砍价,0,0.08601981,0.46936655,0.04623989,0.39837378,0.101765394
56248,无裂变页面,0,0.038776316,0.43854684,0.0058540246,0.5168229,0.1400739
37935,无裂变页面,1,0.09218916,0.35118362,0.20897985,0.34764737,-0.335025
4787,无裂变页面,0,0.10766494,0.52862936,0.06894607,0.29475963,-0.040718675
14118,无裂变页面,0,0.12277706,0.21707854,0.072757065,0.5873873,0.50209713
30584,无裂变页面,0,0.07015412,0.35830495,0.025103137,0.5464378,0.23962802
57469,无裂变页面,0,0.044152394,0.56082135,0.009863078,0.38516316,0.09602833
8223,无裂变页面,0,0.04322818,0.48215368,0.022914805,0.45170337,0.06799811
8126,助力砍价,0,0.07254739,0.3061505,0.019644342,0.60165775,0.31990522
24889,助力砍价,0,0.053604893,0.50220454,0.031861708,0.4123288,0.049429953
26388,无裂变页面,0,0.08453658,0.40356627,0.051321186,0.46057594,0.14587468
20409,助力砍价,0,0.056736402,0.38514966,0.07479918,0.4833148,-0.011250675
41327,无裂变页面,0,0.07452277,0.4454193,0.06699643,0.41306144,0.0075398684
37564,无裂变页面,0,0.077256754,0.3525721,0.03253553,0.53763556,0.24535131
7902,助力砍价,0,0.04748257,0.3876317,0.013710485,0.55117524,0.16971081
55403,无裂变页面,0,0.06734584,0.44935516,0.041639823,0.44165918,0.0883612
2104,助力砍价,0,0.022470994,0.43377796,0.036237344,0.5075137,-0.034783423
52221,无裂变页面,0,0.051787447,0.20625298,0.013574916,0.7283847,0.3647982
61548,助力砍价,0,0.12741022,0.4416684,0.05298391,0.37793744,0.2018674
28751,助力砍价,0,0.020128436,0.34324092,0.0034992057,0.63313144,0.099794805
43298,助力砍价,1,0.040686917,0.51758766,0.022694297,0.41903114,0.04300654
23893,无裂变页面,0,0.23600642,0.32889265,0.046443455,0.38865745,0.6220866
15497,助力砍价,0,0.12049545,0.2468777,0.11666474,0.5159621,0.28715762
35746,助力砍价,0,0.10569719,0.4481737,0.094771996,0.3513571,-0.04319626
63353,助力砍价,1,0.06549328,0.56135863,0.034620702,0.3385274,0.023399234
45929,助力砍价,0,0.08755331,0.34607357,0.060010433,0.5063627,0.19190735
6948,助力砍价,1,0.07796021,0.44305483,0.027630681,0.45135424,0.183891
48224,无裂变页面,0,0.03959971,0.4564293,0.005520559,0.49845046,0.13775867
46344,无裂变页面,1,0.19450542,0.19229245,0.023864945,0.58933717,0.9278842
43335,无裂变页面,0,0.023796437,0.43287677,0.012960648,0.5303662,0.056507945
63993,助力砍价,0,0.1733137,0.45124716,0.106027156,0.26941195,-0.009823024
14817,助力砍价,0,0.07975363,0.33713722,0.05388192,0.52922726,0.19780254
55110,无裂变页面,1,0.082175516,0.4400095,0.05676622,0.42104876,0.07712972
59432,助力砍价,0,0.078608416,0.47864136,0.00934266,0.4334076,0.23992705
44507,无裂变页面,0,0.08886873,0.52145875,0.047895778,0.34177676,0.045390725
34893,无裂变页面,1,0.108796015,0.25087395,0.087749004,0.5525811,0.33090264
53301,无裂变页面,0,0.019573523,0.4340534,0.017253656,0.52911943,0.023140848
24641,助力砍价,0,0.07823377,0.29583198,0.054617256,0.57131696,0.24377441
24095,助力砍价,0,0.058100272,0.33877185,0.03446781,0.56866,0.17849404
63983,助力砍价,0,0.053549945,0.35522252,0.10699244,0.4842351,-0.09992951
5497,助力砍价,0,0.07071959,0.4064615,0.025300922,0.4975179,0.19961905
63142,无裂变页面,0,0.08457068,0.41041288,0.06218528,0.4428312,0.095440745
39372,无裂变页面,0,0.13856465,0.36981183,0.05289156,0.43873197,0.32995513
2444,无裂变页面,0,0.10552287,0.31276378,0.06584592,0.5158675,0.27816203
59469,助力砍价,0,0.061426464,0.25799352,0.06401601,0.61656404,0.19649065
40756,助力砍价,0,0.025058452,0.4042031,0.002739644,0.5679988,0.10715097
36725,无裂变页面,0,0.050384067,0.48838362,0.0033519377,0.45788035,0.17249984
19317,助力砍价,0,0.051244438,0.50965863,0.116707094,0.3223898,-0.34885663
37093,助力砍价,0,0.103893705,0.38229987,0.06893597,0.4448705,0.15904152
9289,无裂变页面,0,0.093170956,0.4075023,0.049372252,0.44995445,0.17442727
18059,助力砍价,0,0.05714439,0.40295902,0.022186998,0.5177096,0.16620815
63362,无裂变页面,0,0.13970424,0.48866773,0.012438094,0.35919,0.37771624
15266,无裂变页面,1,0.23737532,0.30929932,0.03887416,0.4144512,0.69692695
15166,无裂变页面,1,0.11304928,0.36079967,0.070151664,0.4559994,0.2104935
37691,助力砍价,0,0.10234153,0.40931648,0.017883124,0.47045892,0.32679868
32092,助力砍价,0,0.043265745,0.47873324,0.014464965,0.46353608,0.10524672
1745,无裂变页面,1,0.13559178,0.36996782,0.12699215,0.36744824,0.022722393
18097,助力砍价,1,0.18094082,0.21925768,0.043752693,0.55604875,0.75836486
6524,助力砍价,1,0.052385602,0.39276415,0.081760146,0.47309008,-0.05934894
1183,无裂变页面,0,0.08435518,0.35080948,0.080640726,0.48419458,0.10215598
41403,无裂变页面,0,0.042414624,0.3357316,0.014514491,0.6073393,0.17764789
11236,助力砍价,0,0.14893308,0.3082781,0.084007226,0.45878157,0.34194553
10317,助力砍价,0,0.05476479,0.45281237,0.0526107,0.43981218,0.0021080375
5561,无裂变页面,0,0.030166876,0.5365099,0.004954975,0.42836827,0.083599806
44968,助力砍价,1,0.075696975,0.39784667,0.021649998,0.50480634,0.23745626
41053,助力砍价,0,0.10824759,0.36896628,0.06063042,0.46215567,0.22171372
22756,助力砍价,0,0.073265135,0.23551273,0.014387891,0.6768342,0.4329188
20527,助力砍价,0,0.14164802,0.37751988,0.114098296,0.36673385,0.07108644
16552,助力砍价,0,0.047642145,0.39418772,0.016008353,0.54216176,0.15829808
12713,无裂变页面,0,0.09100367,0.4009748,0.17868161,0.32933992,-0.33349133
10130,助力砍价,0,0.01903007,0.5643903,0.0150748985,0.40150476,-0.0071383715
25790,无裂变页面,0,0.104145385,0.43211874,0.022009721,0.44172612,0.2934872
44683,助力砍价,0,0.036496878,0.35781875,0.0139265135,0.5917579,0.13912904
57150,无裂变页面,0,0.083744526,0.39682084,0.033928044,0.4855066,0.2178905
43542,助力砍价,0,0.05486186,0.34979746,0.0143103665,0.5810303,0.22307634
25,助力砍价,0,0.13286912,0.32441682,0.056787234,0.48592687,0.37184927
2326,助力砍价,0,0.1376406,0.3318913,0.034364298,0.4961038,0.4567264
20072,助力砍价,0,0.31186172,0.20437571,0.09738767,0.38637486,0.8055845
38015,无裂变页面,0,0.20871311,0.3881473,0.034250967,0.36888868,0.52944875
6402,助力砍价,0,0.03537893,0.31579262,0.12330536,0.5255231,-0.17859524
61864,助力砍价,0,0.092404485,0.36078194,0.037805486,0.5090081,0.26952338
18743,无裂变页面,0,0.3061024,0.3226242,0.023725608,0.3475478,0.8459152
53980,助力砍价,0,0.08897641,0.4000817,0.080317624,0.43062428,0.049477994
11991,助力砍价,1,0.09356889,0.30421236,0.030531714,0.57168704,0.36905658
27378,助力砍价,0,0.10086377,0.3792413,0.016321246,0.5035737,0.357387
63810,无裂变页面,0,0.03905594,0.3849673,0.026345443,0.54963136,0.09273517
28424,助力砍价,1,0.10290729,0.29532802,0.066809796,0.5349549,0.29477027
59081,无裂变页面,0,0.15679695,0.3706539,0.120947264,0.35160187,0.082653314
8692,无裂变页面,0,0.053632613,0.2713069,0.0634822,0.6115783,0.14202964
5059,助力砍价,0,0.06595083,0.5024946,0.02990996,0.40164462,0.09342426
13764,无裂变页面,0,0.030167475,0.5121137,0.0067042154,0.4510146,0.081967294
48312,助力砍价,0,0.0679458,0.37236908,0.048707534,0.51097757,0.13457036
10083,助力砍价,0,0.15208268,0.39160392,0.10427095,0.35204247,0.1024352
6394,无裂变页面,0,0.05535186,0.3439307,0.029327393,0.5713901,0.17961532
22769,助力砍价,0,0.052767795,0.5414535,0.022086738,0.383692,0.068742156
13787,无裂变页面,0,0.050648406,0.42419034,0.034600127,0.4905612,0.0815593
12700,无裂变页面,0,0.06998132,0.34966475,0.029351585,0.5510023,0.23237479
38871,无裂变页面,0,0.09136986,0.42691132,0.07330533,0.40841344,0.048238873
41079,无裂变页面,0,0.20983124,0.42037135,0.08044898,0.28934848,0.23081926
14456,助力砍价,0,0.105529316,0.2694455,0.07393024,0.5510949,0.32629353
23685,助力砍价,0,0.084412456,0.43494004,0.031359337,0.4492881,0.19458014
26330,无裂变页面,0,0.041463315,0.4277981,0.018477242,0.5122614,0.10708892
19063,无裂变页面,0,0.04318589,0.5287385,0.0068691545,0.42120647,0.11892635
39783,助力砍价,1,0.066002324,0.5119037,0.09034727,0.33174673,-0.19967192
61467,无裂变页面,0,0.09772608,0.32521608,0.036998045,0.54005975,0.3338951
47055,助力砍价,0,0.032649573,0.45005623,0.018248055,0.49904612,0.0647254
61722,助力砍价,0,0.17785586,0.20156686,0.1651983,0.455379,0.4051057
7979,助力砍价,0,0.045906965,0.44209877,0.00271501,0.5092793,0.17753547
7777,无裂变页面,0,0.13748752,0.3757971,0.07165185,0.4150636,0.24128637
